,future,rate,open,close,open_perp,close_perp
2021-10-23T06:00:00+00:00,MKR-PERP,5.3e-05,2518.0,2525.5,2521.5,2531.0
2021-10-23T07:00:00+00:00,MKR-PERP,6.7e-05,2525.5,2517.0,2531.0,2519.5
2021-10-23T07:00:00+00:00,MKR-PERP,6.7e-05,2525.5,2517.0,2531.0,2519.5
2021-10-23T07:00:00+00:00,MKR-PERP,6.7e-05,2525.5,2517.0,2531.0,2519.5
2021-10-23T07:00:00+00:00,MKR-PERP,6.7e-05,2525.5,2517.0,2531.0,2519.5
2021-10-23T08:00:00+00:00,MKR-PERP,6.2e-05,2517.0,2530.0,2519.5,2534.5
2021-10-23T08:00:00+00:00,MKR-PERP,6.2e-05,2517.0,2530.0,2519.5,2534.5
2021-10-23T08:00:00+00:00,MKR-PERP,6.2e-05,2517.0,2530.0,2519.5,2534.5
2021-10-23T08:00:00+00:00,MKR-PERP,6.2e-05,2517.0,2530.0,2519.5,2534.5
2021-10-23T09:00:00+00:00,MKR-PERP,6.5e-05,2530.0,2516.0,2534.5,2519.5
2021-10-23T09:00:00+00:00,MKR-PERP,6.5e-05,2530.0,2516.0,2534.5,2519.5
2021-10-23T09:00:00+00:00,MKR-PERP,6.5e-05,2530.0,2516.0,2534.5,2519.5
2021-10-23T09:00:00+00:00,MKR-PERP,6.5e-05,2530.0,2516.0,2534.5,2519.5
2021-10-23T10:00:00+00:00,MKR-PERP,5.3e-05,2516.0,2498.0,2519.5,2500.5
2021-10-23T10:00:00+00:00,MKR-PERP,5.3e-05,2516.0,2498.0,2519.5,2500.5
2021-10-23T10:00:00+00:00,MKR-PERP,5.3e-05,2516.0,2498.0,2519.5,2500.5
2021-10-23T10:00:00+00:00,MKR-PERP,5.3e-05,2516.0,2498.0,2519.5,2500.5
2021-10-23T11:00:00+00:00,MKR-PERP,4.7e-05,2498.0,2540.0,2500.5,2546.5
2021-10-23T11:00:00+00:00,MKR-PERP,4.7e-05,2498.0,2540.0,2500.5,2546.5
2021-10-23T11:00:00+00:00,MKR-PERP,4.7e-05,2498.0,2540.0,2500.5,2546.5
2021-10-23T11:00:00+00:00,MKR-PERP,4.7e-05,2498.0,2540.0,2500.5,2546.5
2021-10-23T12:00:00+00:00,MKR-PERP,7e-05,2540.5,2538.5,2546.5,2540.0
2021-10-23T12:00:00+00:00,MKR-PERP,7e-05,2540.5,2538.5,2546.5,2540.0
2021-10-23T12:00:00+00:00,MKR-PERP,7e-05,2540.5,2538.5,2546.5,2540.0
2021-10-23T12:00:00+00:00,MKR-PERP,7e-05,2540.5,2538.5,2546.5,2540.0
2021-10-23T13:00:00+00:00,MKR-PERP,5.6e-05,2538.5,2526.5,2540.0,2528.0
2021-10-23T13:00:00+00:00,MKR-PERP,5.6e-05,2538.5,2526.5,2540.0,2528.0
2021-10-23T13:00:00+00:00,MKR-PERP,5.6e-05,2538.5,2526.5,2540.0,2528.0
2021-10-23T13:00:00+00:00,MKR-PERP,5.6e-05,2538.5,2526.5,2540.0,2528.0
2021-10-23T14:00:00+00:00,MKR-PERP,5.4e-05,2526.5,2515.0,2528.0,2518.5
2021-10-23T14:00:00+00:00,MKR-PERP,5.4e-05,2526.5,2515.0,2528.0,2518.5
2021-10-23T14:00:00+00:00,MKR-PERP,5.4e-05,2526.5,2515.0,2528.0,2518.5
2021-10-23T14:00:00+00:00,MKR-PERP,5.4e-05,2526.5,2515.0,2528.0,2518.5
2021-10-23T15:00:00+00:00,MKR-PERP,5.9e-05,2515.0,2527.0,2518.5,2533.0
2021-10-23T15:00:00+00:00,MKR-PERP,5.9e-05,2515.0,2527.0,2518.5,2533.0
2021-10-23T15:00:00+00:00,MKR-PERP,5.9e-05,2515.0,2527.0,2518.5,2533.0
2021-10-23T15:00:00+00:00,MKR-PERP,5.9e-05,2515.0,2527.0,2518.5,2533.0
2021-10-23T16:00:00+00:00,MKR-PERP,6.3e-05,2527.0,2517.0,2533.0,2523.5
2021-10-23T16:00:00+00:00,MKR-PERP,6.3e-05,2527.0,2517.0,2533.0,2523.5
2021-10-23T16:00:00+00:00,MKR-PERP,6.3e-05,2527.0,2517.0,2533.0,2523.5
